Member_number,Date,itemDescription,,istext
2868,22-04-2014,soda,,TRUE
4531,12/5/2014,beverages,,FALSE
1370,9/9/2014,fruit/vegetable juice,,FALSE
1102,30-09-2014,yogurt,,TRUE
2473,9/11/2014,whole milk,,FALSE
2266,30-08-2014,other vegetables,,TRUE
1655,4/11/2014,pip fruit,,FALSE
2649,2/8/2014,bottled water,,FALSE
1740,21-02-2014,root vegetables,,TRUE
4617,18-11-2014,yogurt,,TRUE
2921,4/3/2014,hard cheese,,FALSE
2533,23-12-2014,hamburger meat,,TRUE
3168,26-03-2014,brown bread,,TRUE
2993,23-10-2014,onions,,TRUE
4292,6/4/2014,frozen potato products,,FALSE
1674,30-06-2014,chicken,,TRUE
2092,1/4/2014,salty snack,,FALSE
1062,7/11/2014,ham,,FALSE
1015,28-06-2014,fruit/vegetable juice,,TRUE
4149,11/2/2014,tropical fruit,,FALSE
3476,5/2/2014,frozen meals,,FALSE
4786,13-07-2014,chocolate,,TRUE
2054,6/8/2014,white bread,,FALSE
2518,6/12/2014,oil,,FALSE
4771,26-12-2014,other vegetables,,TRUE
4666,27-09-2014,yogurt,,TRUE
4513,30-01-2014,dessert,,TRUE
1225,29-11-2014,butter milk,,TRUE
3496,11/8/2014,misc. beverages,,FALSE
1720,13-09-2014,herbs,,TRUE
4091,31-03-2014,packaged fruit/vegetables,,TRUE
3477,17-07-2014,tropical fruit,,TRUE
3227,20-08-2014,bottled beer,,TRUE
2123,6/6/2014,cream cheese ,,FALSE
4837,17-12-2014,whole milk,,TRUE
4316,31-08-2014,meat,,TRUE
3263,30-06-2014,chocolate,,TRUE
3421,13-06-2014,pet care,,TRUE
4819,23-04-2014,meat spreads,,TRUE
1294,7/10/2014,waffles,,FALSE
1309,6/5/2014,pastry,,FALSE
2589,7/6/2014,whole milk,,FALSE
1234,14-04-2014,yogurt,,TRUE
2685,12/4/2014,butter,,FALSE
1395,24-11-2014,sausage,,TRUE
2480,1/3/2014,other vegetables,,FALSE
4303,17-01-2014,sugar,,TRUE
3915,24-09-2014,other vegetables,,TRUE
3646,12/5/2014,rolls/buns,,FALSE
2443,22-05-2014,pip fruit,,TRUE
4616,16-10-2014,root vegetables,,TRUE
2325,6/5/2014,onions,,FALSE
1660,15-06-2014,misc. beverages,,TRUE
3982,22-11-2014,jam,,TRUE
3181,7/10/2014,domestic eggs,,FALSE
3251,20-10-2014,soda,,TRUE
4846,28-10-2014,whole milk,,TRUE
4511,18-08-2014,pork,,TRUE
1689,19-09-2014,beef,,TRUE
3789,10/3/2014,pot plants,,FALSE
2737,26-12-2014,other vegetables,,TRUE
1374,1/9/2014,sugar,,FALSE
3948,20-02-2014,waffles,,TRUE
4544,15-05-2014,bottled water,,TRUE
2758,30-06-2014,whole milk,,TRUE
1659,5/7/2014,dishes,,FALSE
4988,13-12-2014,misc. beverages,,TRUE
4073,26-04-2014,detergent,,TRUE
1212,25-05-2014,beef,,TRUE
3657,29-05-2014,butter,,TRUE
1187,8/6/2014,soda,,FALSE
4251,2/7/2014,ham,,FALSE
1100,20-02-2014,hamburger meat,,TRUE
1410,23-05-2014,yogurt,,TRUE
3871,16-08-2014,whole milk,,TRUE
1756,22-09-2014,UHT-milk,,TRUE
4780,16-08-2014,shopping bags,,TRUE
4435,27-01-2014,root vegetables,,TRUE
3212,9/4/2014,coffee,,FALSE
2871,3/5/2014,whole milk,,FALSE
2645,23-10-2014,soda,,TRUE
3469,11/4/2014,whole milk,,FALSE
2349,12/10/2014,female sanitary products,,FALSE
3247,3/9/2014,pip fruit,,FALSE
1202,21-04-2014,coffee,,TRUE
1512,29-04-2014,bottled beer,,TRUE
3294,1/3/2014,root vegetables,,FALSE
3142,12/2/2014,tropical fruit,,FALSE
4632,18-09-2014,root vegetables,,TRUE
3411,30-11-2014,whole milk,,TRUE
1200,27-02-2014,brown bread,,TRUE
1107,26-09-2014,shopping bags,,TRUE
4070,8/3/2014,specialty chocolate,,FALSE
3901,30-11-2014,curd,,TRUE
3615,13-06-2014,sugar,,TRUE
3857,30-12-2014,soda,,TRUE
3142,1/9/2014,pasta,,FALSE
2011,18-05-2014,liquor,,TRUE
3414,2/4/2014,bottled water,,FALSE
3013,25-03-2014,whole milk,,TRUE
3053,13-12-2014,rolls/buns,,TRUE
2270,18-12-2014,tropical fruit,,TRUE
3844,25-09-2014,beverages,,TRUE
1578,29-11-2014,frozen vegetables,,TRUE
1364,11/8/2014,other vegetables,,FALSE
4902,21-11-2014,salty snack,,TRUE
2696,23-12-2014,whole milk,,TRUE
1449,18-07-2014,whole milk,,TRUE
3277,30-08-2014,fruit/vegetable juice,,TRUE
1719,14-11-2014,whole milk,,TRUE
3111,30-10-2014,soda,,TRUE
4135,22-02-2014,other vegetables,,TRUE
2261,21-01-2014,tropical fruit,,TRUE
3835,15-10-2014,fruit/vegetable juice,,TRUE
4379,26-08-2014,rolls/buns,,TRUE
4284,6/10/2014,soda,,FALSE
2815,23-09-2014,dessert,,TRUE
4394,14-02-2014,other vegetables,,TRUE
1400,11/10/2014,rolls/buns,,FALSE
2964,3/10/2014,oil,,FALSE
2457,9/7/2014,other vegetables,,FALSE
3725,8/3/2014,coffee,,FALSE
2041,19-06-2014,root vegetables,,TRUE
1259,10/6/2014,hamburger meat,,FALSE
1235,4/10/2014,condensed milk,,FALSE
4820,2/7/2014,other vegetables,,FALSE
4690,20-12-2014,salty snack,,TRUE
4308,29-11-2014,soda,,TRUE
2944,31-07-2014,beverages,,TRUE
4809,21-06-2014,brown bread,,TRUE
2803,4/3/2014,shopping bags,,FALSE
2925,24-11-2014,citrus fruit,,TRUE
4329,6/4/2014,dishes,,FALSE
2811,20-06-2014,butter milk,,TRUE
1527,29-01-2014,other vegetables,,TRUE
2909,6/9/2014,whole milk,,FALSE
2045,11/4/2014,yogurt,,FALSE
2170,24-02-2014,fish,,TRUE
3962,15-11-2014,rolls/buns,,TRUE
3065,14-03-2014,whole milk,,TRUE
1425,6/2/2014,citrus fruit,,FALSE
2692,4/10/2014,butter,,FALSE
4893,27-06-2014,curd,,TRUE
1528,1/2/2014,frozen vegetables,,FALSE
2587,29-10-2014,flower (seeds),,TRUE
4065,13-01-2014,brown bread,,TRUE
1616,7/11/2014,whole milk,,FALSE
1476,16-01-2014,yogurt,,TRUE
3133,12/7/2014,butter milk,,FALSE
4770,22-02-2014,butter,,TRUE
4725,19-12-2014,brown bread,,TRUE
3293,17-10-2014,rolls/buns,,TRUE
3244,21-06-2014,canned fish,,TRUE
4941,9/9/2014,coffee,,FALSE
4840,27-08-2014,onions,,TRUE
3439,14-05-2014,frozen vegetables,,TRUE
4609,1/5/2014,beef,,FALSE
3818,11/3/2014,root vegetables,,FALSE
1001,12/12/2014,whole milk,,FALSE
4523,11/7/2014,ham,,FALSE
2349,28-05-2014,yogurt,,TRUE
2026,7/1/2014,other vegetables,,FALSE
3587,3/8/2014,other vegetables,,FALSE
3959,5/7/2014,hamburger meat,,FALSE
2901,9/8/2014,whipped/sour cream,,FALSE
2689,19-04-2014,long life bakery product,,TRUE
1844,27-04-2014,pip fruit,,TRUE
3629,5/7/2014,red/blush wine,,FALSE
4991,28-08-2014,whole milk,,TRUE
1003,15-10-2014,root vegetables,,TRUE
4455,18-06-2014,root vegetables,,TRUE
2662,5/12/2014,tropical fruit,,FALSE
2948,20-07-2014,yogurt,,TRUE
4281,14-08-2014,frozen dessert,,TRUE
1880,17-09-2014,other vegetables,,TRUE
4858,17-08-2014,other vegetables,,TRUE
2907,25-03-2014,margarine,,TRUE
2339,28-01-2014,bottled water,,TRUE
3479,6/6/2014,herbs,,FALSE
2562,14-11-2014,yogurt,,TRUE
3204,29-05-2014,tropical fruit,,TRUE
3200,27-10-2014,yogurt,,TRUE
4950,20-04-2014,cream,,TRUE
1279,13-02-2014,oil,,TRUE
2245,19-02-2014,fish,,TRUE
1856,26-04-2014,chocolate,,TRUE
1966,23-10-2014,other vegetables,,TRUE
1714,22-01-2014,mustard,,TRUE
2133,4/12/2014,sausage,,FALSE
1147,4/3/2014,frozen meals,,FALSE
4991,20-01-2014,processed cheese,,TRUE
2850,18-01-2014,organic sausage,,TRUE
4159,11/7/2014,canned fish,,FALSE
1902,14-12-2014,shopping bags,,TRUE
4675,9/7/2014,coffee,,FALSE
4544,29-10-2014,canned beer,,TRUE
4715,10/12/2014,soda,,FALSE
2020,1/2/2014,beef,,FALSE
3814,5/1/2014,bottled water,,FALSE
3351,13-06-2014,citrus fruit,,TRUE
1721,7/3/2014,bottled water,,FALSE
4365,23-01-2014,other vegetables,,TRUE
3724,5/7/2014,sweet spreads,,FALSE
3160,13-11-2014,chocolate,,TRUE
3786,2/4/2014,berries,,FALSE
1204,12/1/2014,softener,,FALSE
1240,15-07-2014,onions,,TRUE
2504,10/2/2014,condensed milk,,FALSE
4897,13-06-2014,dishes,,TRUE
3491,11/12/2014,rolls/buns,,FALSE
3046,22-08-2014,citrus fruit,,TRUE
4820,23-04-2014,onions,,TRUE
4898,3/4/2014,tropical fruit,,FALSE
2919,14-01-2014,rolls/buns,,TRUE
1354,4/5/2014,bottled beer,,FALSE
4424,31-08-2014,margarine,,TRUE
1320,19-07-2014,soft cheese,,TRUE
4422,19-10-2014,pip fruit,,TRUE
3533,22-08-2014,hamburger meat,,TRUE
3721,10/12/2014,tropical fruit,,FALSE
3107,2/1/2014,rolls/buns,,FALSE
4908,13-11-2014,coffee,,TRUE
1684,26-02-2014,canned beer,,TRUE
3452,23-12-2014,canned beer,,TRUE
4052,17-05-2014,UHT-milk,,TRUE
1520,30-04-2014,other vegetables,,TRUE
2063,26-05-2014,onions,,TRUE
2353,14-11-2014,other vegetables,,TRUE
3450,20-05-2014,beverages,,TRUE
4056,3/10/2014,soda,,FALSE
4865,20-05-2014,chocolate,,TRUE
1395,20-05-2014,long life bakery product,,TRUE
2325,27-02-2014,fruit/vegetable juice,,TRUE
4887,2/1/2014,long life bakery product,,FALSE
3356,30-09-2014,UHT-milk,,TRUE
3827,11/9/2014,pork,,FALSE
1546,2/4/2014,white bread,,FALSE
1327,4/12/2014,pip fruit,,FALSE
2682,20-02-2014,other vegetables,,TRUE
4937,22-06-2014,rolls/buns,,TRUE
3817,24-11-2014,newspapers,,TRUE
4314,27-01-2014,margarine,,TRUE
4146,3/1/2014,dessert,,FALSE
4749,11/9/2014,root vegetables,,FALSE
3222,16-01-2014,rolls/buns,,TRUE
1937,7/3/2014,other vegetables,,FALSE
1440,1/1/2014,other vegetables,,FALSE
1682,5/7/2014,citrus fruit,,FALSE
1421,30-08-2014,pip fruit,,TRUE
2774,26-03-2014,other vegetables,,TRUE
2009,11/12/2014,rolls/buns,,FALSE
1366,19-02-2014,canned beer,,TRUE
1432,12/3/2014,frozen vegetables,,FALSE
2758,24-10-2014,pip fruit,,TRUE
1209,5/3/2014,yogurt,,FALSE
3695,12/10/2014,citrus fruit,,FALSE
1353,12/9/2014,rolls/buns,,FALSE
4351,26-11-2014,waffles,,TRUE
4277,3/8/2014,yogurt,,FALSE
4532,13-11-2014,pip fruit,,TRUE
4281,9/3/2014,yogurt,,FALSE
2025,13-11-2014,coffee,,TRUE
1708,9/7/2014,other vegetables,,FALSE
3153,21-06-2014,onions,,TRUE
4584,22-04-2014,other vegetables,,TRUE
3948,10/4/2014,soda,,FALSE
4082,3/8/2014,berries,,FALSE
1169,15-01-2014,other vegetables,,TRUE
1220,16-11-2014,sausage,,TRUE
1438,18-05-2014,butter,,TRUE
2071,31-07-2014,pip fruit,,TRUE
4802,10/8/2014,tropical fruit,,FALSE
2868,15-06-2014,citrus fruit,,TRUE
2390,28-11-2014,rolls/buns,,TRUE
3649,23-09-2014,rolls/buns,,TRUE
1834,21-12-2014,berries,,TRUE
1578,26-03-2014,whole milk,,TRUE
4060,11/10/2014,tropical fruit,,FALSE
3717,27-01-2014,pip fruit,,TRUE
1501,3/11/2014,whole milk,,FALSE
4654,6/5/2014,rolls/buns,,FALSE
1022,22-02-2014,beef,,TRUE
4822,2/7/2014,rolls/buns,,FALSE
4473,3/6/2014,bottled beer,,FALSE
1099,29-08-2014,root vegetables,,TRUE
2020,11/4/2014,hamburger meat,,FALSE
4227,25-07-2014,citrus fruit,,TRUE
1113,2/2/2014,curd,,FALSE
4542,5/12/2014,other vegetables,,FALSE
1607,5/10/2014,other vegetables,,FALSE
4825,23-04-2014,soda,,TRUE
4467,11/1/2014,white bread,,FALSE
3146,7/2/2014,root vegetables,,FALSE
3508,10/3/2014,root vegetables,,FALSE
4712,3/11/2014,pork,,FALSE
3535,16-02-2014,whole milk,,TRUE
4404,10/10/2014,candy,,FALSE
2934,30-10-2014,tropical fruit,,TRUE
4080,23-04-2014,citrus fruit,,TRUE
1266,27-08-2014,other vegetables,,TRUE
4244,5/12/2014,oil,,FALSE
2545,13-04-2014,herbs,,TRUE
3427,5/6/2014,meat,,FALSE
2174,18-09-2014,rolls/buns,,TRUE
3849,9/10/2014,pork,,FALSE
4015,10/11/2014,whole milk,,FALSE
3123,15-12-2014,whole milk,,TRUE
3366,19-12-2014,white wine,,TRUE
4916,7/11/2014,liquor,,FALSE
4698,24-07-2014,cleaner,,TRUE
1137,16-05-2014,nut snack,,TRUE
1781,15-03-2014,specialty bar,,TRUE
1519,28-10-2014,butter,,TRUE
4262,17-08-2014,domestic eggs,,TRUE
4625,3/1/2014,white bread,,FALSE
4823,22-02-2014,whole milk,,TRUE
2669,20-03-2014,white bread,,TRUE
1417,14-10-2014,whipped/sour cream,,TRUE
2311,26-10-2014,soda,,TRUE
4387,22-10-2014,frozen dessert,,TRUE
4833,17-08-2014,domestic eggs,,TRUE
1002,26-04-2014,butter,,TRUE
1019,10/12/2014,hamburger meat,,FALSE
1548,1/10/2014,long life bakery product,,FALSE
2350,3/4/2014,other vegetables,,FALSE
4599,23-04-2014,pastry,,TRUE
2983,28-02-2014,tropical fruit,,TRUE
1994,21-07-2014,soda,,TRUE
2611,16-02-2014,roll products ,,TRUE
2649,3/9/2014,baking powder,,FALSE
4941,12/6/2014,whole milk,,FALSE
1836,13-04-2014,whole milk,,TRUE
1878,9/6/2014,rolls/buns,,FALSE
3184,10/9/2014,sliced cheese,,FALSE
1924,20-05-2014,other vegetables,,TRUE
3266,30-10-2014,UHT-milk,,TRUE
4807,21-05-2014,curd,,TRUE
1746,21-03-2014,root vegetables,,TRUE
3267,27-03-2014,other vegetables,,TRUE
3216,2/11/2014,other vegetables,,FALSE
3629,5/11/2014,citrus fruit,,FALSE
1142,22-05-2014,newspapers,,TRUE
1178,15-06-2014,tropical fruit,,TRUE
2391,1/11/2014,whole milk,,FALSE
1753,30-07-2014,hygiene articles,,TRUE
4607,9/6/2014,pastry,,FALSE
2762,27-10-2014,pastry,,TRUE
1959,23-03-2014,pip fruit,,TRUE
2776,14-05-2014,specialty cheese,,TRUE
4554,18-07-2014,white bread,,TRUE
4367,22-08-2014,rolls/buns,,TRUE
3265,9/7/2014,whole milk,,FALSE
4665,12/1/2014,soda,,FALSE
4224,6/10/2014,grapes,,FALSE
1759,28-07-2014,bottled water,,TRUE
4712,21-09-2014,whole milk,,TRUE
1364,7/1/2014,citrus fruit,,FALSE
4465,4/1/2014,specialty chocolate,,FALSE
4635,2/2/2014,baking powder,,FALSE
1852,4/1/2014,tropical fruit,,FALSE
4551,7/1/2014,mayonnaise,,FALSE
1134,18-02-2014,cream cheese ,,TRUE
3151,20-08-2014,meat,,TRUE
2593,16-04-2014,UHT-milk,,TRUE
2318,10/12/2014,frozen fish,,FALSE
1483,13-01-2014,meat,,TRUE
1892,5/8/2014,citrus fruit,,FALSE
4184,17-09-2014,pip fruit,,TRUE
2741,10/8/2014,UHT-milk,,FALSE
2461,24-01-2014,bottled water,,TRUE
3608,24-01-2014,house keeping products,,TRUE
3038,30-12-2014,rolls/buns,,TRUE
1772,4/2/2014,sugar,,FALSE
3548,20-10-2014,dessert,,TRUE
3010,11/5/2014,root vegetables,,FALSE
4010,11/8/2014,yogurt,,FALSE
4466,14-07-2014,whole milk,,TRUE
4191,5/8/2014,citrus fruit,,FALSE
1578,24-08-2014,napkins,,TRUE
2837,13-10-2014,dessert,,TRUE
4860,25-06-2014,citrus fruit,,TRUE
2047,12/5/2014,sausage,,FALSE
4649,5/9/2014,canned beer,,FALSE
3247,9/3/2014,rice,,FALSE
4192,22-02-2014,butter,,TRUE
3491,26-06-2014,root vegetables,,TRUE
1025,6/2/2014,coffee,,FALSE
3556,17-12-2014,butter milk,,TRUE
3698,11/7/2014,root vegetables,,FALSE
1534,2/7/2014,other vegetables,,FALSE
1327,14-12-2014,grapes,,TRUE
1716,16-08-2014,brown bread,,TRUE
4500,15-11-2014,rolls/buns,,TRUE
1097,3/5/2014,shopping bags,,FALSE
3614,13-04-2014,other vegetables,,TRUE
1717,26-07-2014,pip fruit,,TRUE
1981,1/11/2014,whole milk,,FALSE
2320,25-03-2014,yogurt,,TRUE
3088,11/3/2014,newspapers,,FALSE
4920,9/10/2014,whole milk,,FALSE
4338,25-10-2014,pip fruit,,TRUE
2093,1/6/2014,napkins,,FALSE
4212,12/5/2014,organic sausage,,FALSE
3817,12/3/2014,red/blush wine,,FALSE
2552,8/10/2014,butter,,FALSE
2524,3/8/2014,white wine,,FALSE
2454,12/7/2014,red/blush wine,,FALSE
1498,29-10-2014,citrus fruit,,TRUE
2222,3/4/2014,pork,,FALSE
3905,25-01-2014,fruit/vegetable juice,,TRUE
3485,10/11/2014,rolls/buns,,FALSE
4403,24-06-2014,tropical fruit,,TRUE
2661,14-12-2014,whole milk,,TRUE
2415,14-09-2014,pastry,,TRUE
4165,16-09-2014,beef,,TRUE
1838,14-06-2014,other vegetables,,TRUE
4129,28-02-2014,meat spreads,,TRUE
3468,2/6/2014,whipped/sour cream,,FALSE
3515,13-04-2014,sliced cheese,,TRUE
4683,9/5/2014,chicken,,FALSE
4415,22-08-2014,bottled water,,TRUE
3778,27-04-2014,pip fruit,,TRUE
2406,27-10-2014,root vegetables,,TRUE
2726,27-11-2014,pastry,,TRUE
3370,14-12-2014,other vegetables,,TRUE
4485,27-01-2014,dessert,,TRUE
3266,6/9/2014,brown bread,,FALSE
3115,9/7/2014,zwieback,,FALSE
2479,5/3/2014,frozen meals,,FALSE
1628,13-11-2014,hamburger meat,,TRUE
1023,13-06-2014,domestic eggs,,TRUE
1089,5/12/2014,yogurt,,FALSE
1386,21-12-2014,pork,,TRUE
3221,9/9/2014,soda,,FALSE
2623,22-11-2014,whole milk,,TRUE
2142,23-05-2014,bottled water,,TRUE
4164,3/3/2014,curd,,FALSE
1277,25-01-2014,butter,,TRUE
2927,1/9/2014,packaged fruit/vegetables,,FALSE
4455,9/10/2014,margarine,,FALSE
4042,15-07-2014,tropical fruit,,TRUE
1239,18-04-2014,meat,,TRUE
1542,13-09-2014,yogurt,,TRUE
4208,3/2/2014,pork,,FALSE
4106,25-07-2014,tropical fruit,,TRUE
1853,25-03-2014,citrus fruit,,TRUE
2701,16-08-2014,whole milk,,TRUE
3539,19-03-2014,liquor (appetizer),,TRUE
1428,18-10-2014,berries,,TRUE
2424,23-03-2014,curd,,TRUE
1528,12/6/2014,whole milk,,FALSE
3150,11/8/2014,hamburger meat,,FALSE
3635,23-12-2014,beef,,TRUE
4078,27-09-2014,pip fruit,,TRUE
3606,11/11/2014,other vegetables,,FALSE
4066,24-01-2014,hamburger meat,,TRUE
4508,22-11-2014,rolls/buns,,TRUE
2284,24-03-2014,bottled water,,TRUE
3450,26-11-2014,pastry,,TRUE
4097,18-05-2014,butter,,TRUE
4096,20-04-2014,ham,,TRUE
2637,18-09-2014,whole milk,,TRUE
3007,2/12/2014,canned beer,,FALSE
1859,5/11/2014,tropical fruit,,FALSE
1479,29-03-2014,pip fruit,,TRUE
1719,25-04-2014,soda,,TRUE
1618,13-07-2014,bottled beer,,TRUE
3976,5/10/2014,other vegetables,,FALSE
2482,21-01-2014,pip fruit,,TRUE
4899,27-08-2014,root vegetables,,TRUE
2364,23-07-2014,pip fruit,,TRUE
2478,25-02-2014,napkins,,TRUE
3680,25-10-2014,curd,,TRUE
2552,20-06-2014,female sanitary products,,TRUE
3676,9/6/2014,whipped/sour cream,,FALSE
1855,16-07-2014,other vegetables,,TRUE
3582,29-11-2014,berries,,TRUE
2688,21-12-2014,whole milk,,TRUE
3782,14-05-2014,whole milk,,TRUE
1427,12/6/2014,brown bread,,FALSE
4310,7/7/2014,specialty chocolate,,FALSE
2803,26-10-2014,coffee,,TRUE
4601,5/1/2014,pot plants,,FALSE
2027,26-02-2014,frozen meals,,TRUE
1398,23-08-2014,specialty chocolate,,TRUE
1896,25-07-2014,sugar,,TRUE
3731,18-08-2014,roll products ,,TRUE
2764,18-04-2014,whipped/sour cream,,TRUE
3909,16-09-2014,tropical fruit,,TRUE
2857,12/12/2014,pip fruit,,FALSE
2192,21-11-2014,margarine,,TRUE
1507,6/6/2014,bottled water,,FALSE
4617,3/11/2014,newspapers,,FALSE
3920,17-02-2014,soda,,TRUE
1843,24-09-2014,soda,,TRUE
2946,20-09-2014,rolls/buns,,TRUE
1087,16-12-2014,soda,,TRUE
2014,19-12-2014,pip fruit,,TRUE
1473,27-02-2014,soda,,TRUE
3095,17-08-2014,root vegetables,,TRUE
4461,13-05-2014,cake bar,,TRUE
3879,3/12/2014,soda,,FALSE
3083,9/6/2014,tropical fruit,,FALSE
1114,25-04-2014,chocolate,,TRUE
2390,26-08-2014,other vegetables,,TRUE
1625,10/1/2014,pot plants,,FALSE
4842,19-10-2014,domestic eggs,,TRUE
4798,19-05-2014,pip fruit,,TRUE
3127,24-03-2014,pork,,TRUE
4051,18-12-2014,bottled water,,TRUE
1004,19-08-2014,root vegetables,,TRUE
3782,21-09-2014,shopping bags,,TRUE
2974,1/1/2014,berries,,FALSE
1938,25-09-2014,soda,,TRUE
4973,28-05-2014,yogurt,,TRUE
3065,28-12-2014,dessert,,TRUE
2704,2/8/2014,vinegar,,FALSE
3083,19-09-2014,domestic eggs,,TRUE
4442,8/4/2014,pastry,,FALSE
2147,15-09-2014,canned vegetables,,TRUE
4594,24-12-2014,whole milk,,TRUE
1108,22-08-2014,salty snack,,TRUE
4277,4/9/2014,brown bread,,FALSE
2058,8/5/2014,frozen vegetables,,FALSE
1041,29-06-2014,tropical fruit,,TRUE
4494,11/6/2014,berries,,FALSE
3246,14-01-2014,pot plants,,TRUE
2264,17-10-2014,other vegetables,,TRUE
4931,28-08-2014,yogurt,,TRUE
3457,17-03-2014,chicken,,TRUE
4444,8/12/2014,frozen meals,,FALSE
1724,4/4/2014,chicken,,FALSE
1966,14-02-2014,vinegar,,TRUE
4126,6/11/2014,berries,,FALSE
3430,12/1/2014,other vegetables,,FALSE
2054,21-11-2014,yogurt,,TRUE
3667,11/5/2014,soda,,FALSE
3329,8/9/2014,white bread,,FALSE
3841,27-09-2014,margarine,,TRUE
2687,16-12-2014,curd,,TRUE
1328,14-08-2014,tropical fruit,,TRUE
4211,3/4/2014,bottled beer,,FALSE
2604,17-09-2014,grapes,,TRUE
1937,26-07-2014,sugar,,TRUE
3856,3/3/2014,onions,,FALSE
3484,25-12-2014,beef,,TRUE
1549,2/3/2014,domestic eggs,,FALSE
1702,5/5/2014,pastry,,FALSE
3694,1/8/2014,whole milk,,FALSE
4608,20-07-2014,cream cheese ,,TRUE
2376,15-06-2014,specialty chocolate,,TRUE
3282,10/7/2014,ice cream,,FALSE
2349,14-03-2014,liquor,,TRUE
2936,7/3/2014,onions,,FALSE
2311,13-03-2014,citrus fruit,,TRUE
1661,21-07-2014,dessert,,TRUE
2652,4/9/2014,ham,,FALSE
2049,2/4/2014,other vegetables,,FALSE
4855,16-06-2014,cat food,,TRUE
2715,23-05-2014,pip fruit,,TRUE
4132,2/3/2014,yogurt,,FALSE
1887,3/2/2014,yogurt,,FALSE
1832,21-08-2014,whole milk,,TRUE
1176,21-11-2014,frozen potato products,,TRUE
3382,13-11-2014,dessert,,TRUE
1444,7/3/2014,whole milk,,FALSE
1702,13-05-2014,pork,,TRUE
3447,30-06-2014,margarine,,TRUE
4759,24-01-2014,chewing gum,,TRUE
2536,9/2/2014,specialty bar,,FALSE
3666,12/4/2014,canned beer,,FALSE
3767,6/7/2014,onions,,FALSE
3271,25-02-2014,specialty fat,,TRUE
3654,17-06-2014,tropical fruit,,TRUE
4871,7/7/2014,chocolate,,FALSE
1217,3/12/2014,citrus fruit,,FALSE
1616,3/5/2014,margarine,,FALSE
1329,22-02-2014,dessert,,TRUE
4603,17-11-2014,whole milk,,TRUE
4431,10/5/2014,brown bread,,FALSE
3913,11/4/2014,canned beer,,FALSE
2325,6/11/2014,pastry,,FALSE
4117,3/8/2014,yogurt,,FALSE
2174,5/1/2014,brown bread,,FALSE
4541,3/4/2014,root vegetables,,FALSE
3670,6/5/2014,chocolate,,FALSE
3719,26-10-2014,whole milk,,TRUE
3499,13-07-2014,canned beer,,TRUE
1749,9/12/2014,ham,,FALSE
1572,17-05-2014,chicken,,TRUE
2271,3/2/2014,root vegetables,,FALSE
3834,18-05-2014,rolls/buns,,TRUE
1146,23-05-2014,yogurt,,TRUE
4298,22-03-2014,whole milk,,TRUE
4164,25-09-2014,soda,,TRUE
3998,8/1/2014,ice cream,,FALSE
3786,21-10-2014,mayonnaise,,TRUE
3285,21-10-2014,tropical fruit,,TRUE
3159,18-04-2014,pip fruit,,TRUE
3820,26-07-2014,butter milk,,TRUE
1808,15-12-2014,sugar,,TRUE
4860,22-02-2014,rolls/buns,,TRUE
1928,23-05-2014,bottled beer,,TRUE
1438,19-01-2014,whole milk,,TRUE
4290,26-03-2014,soda,,TRUE
1818,8/12/2014,other vegetables,,FALSE
1176,4/8/2014,hard cheese,,FALSE
4879,19-09-2014,butter milk,,TRUE
1574,17-06-2014,soda,,TRUE
1045,10/4/2014,fruit/vegetable juice,,FALSE
1168,31-10-2014,sweet spreads,,TRUE
4648,3/10/2014,onions,,FALSE
1931,4/3/2014,pip fruit,,FALSE
2868,4/3/2014,pastry,,FALSE
3082,22-07-2014,canned beer,,TRUE
2935,21-04-2014,whole milk,,TRUE
2639,8/6/2014,bottled beer,,FALSE
2789,12/7/2014,white bread,,FALSE
4153,14-02-2014,whole milk,,TRUE
3761,12/2/2014,tropical fruit,,FALSE
4444,25-04-2014,other vegetables,,TRUE
2824,5/9/2014,pip fruit,,FALSE
1146,12/7/2014,bottled water,,FALSE
4796,2/3/2014,rolls/buns,,FALSE
4586,26-09-2014,whole milk,,TRUE
1987,29-10-2014,rolls/buns,,TRUE
4376,7/12/2014,other vegetables,,FALSE
2511,18-06-2014,whole milk,,TRUE
3364,6/5/2014,beef,,FALSE
4471,8/10/2014,whole milk,,FALSE
2022,23-02-2014,cat food,,TRUE
1097,16-04-2014,sausage,,TRUE
1510,3/12/2014,beef,,FALSE
1521,26-12-2014,ham,,TRUE
2601,28-02-2014,soda,,TRUE
1314,5/9/2014,canned beer,,FALSE
3657,28-11-2014,whole milk,,TRUE
4693,8/6/2014,onions,,FALSE
3095,22-07-2014,onions,,TRUE
1274,25-04-2014,tidbits,,TRUE
2164,19-11-2014,whole milk,,TRUE
2447,14-04-2014,whole milk,,TRUE
3778,22-11-2014,bottled beer,,TRUE
4219,21-09-2014,citrus fruit,,TRUE
4382,1/3/2014,fruit/vegetable juice,,FALSE
2612,30-07-2014,white bread,,TRUE
3899,27-01-2014,soda,,TRUE
4318,9/8/2014,domestic eggs,,FALSE
1305,26-07-2014,spread cheese,,TRUE
4991,22-12-2014,other vegetables,,TRUE
2998,30-10-2014,grapes,,TRUE
3327,16-07-2014,semi-finished bread,,TRUE
4115,8/2/2014,other vegetables,,FALSE
1201,24-11-2014,misc. beverages,,TRUE
1595,27-06-2014,beef,,TRUE
2017,12/11/2014,tropical fruit,,FALSE
